Timestamp,WordValue,Voltage
3.416872024536132812e-02,-5.242870000000000000e+05,6.652999999999999626e-04
8.157873153686523438e-02,-5.242860000000000000e+05,6.656999999999999723e-04
1.163058280944824219e-01,-5.242850000000000000e+05,6.658999999999999772e-04
1.643440723419189453e-01,-5.242840000000000000e+05,6.654000000000000192e-04
2.290043830871582031e-01,-5.242830000000000000e+05,6.650999999999999577e-04
2.869470119476318359e-01,-5.242820000000000000e+05,6.648000000000000046e-04
3.519542217254638672e-01,-5.242810000000000000e+05,6.646999999999999480e-04
4.107723236083984375e-01,-5.242800000000000000e+05,6.645000000000000516e-04
4.655764102935791016e-01,-5.242790000000000000e+05,6.650000000000000095e-04
5.383946895599365234e-01,-5.242780000000000000e+05,6.648999999999999529e-04
5.985047817230224609e-01,-5.242770000000000000e+05,6.648000000000000046e-04
6.646113395690917969e-01,-5.242760000000000000e+05,6.643999999999999949e-04
7.204115390777587891e-01,-5.242750000000000000e+05,6.643000000000000467e-04
7.894134521484375000e-01,-5.242740000000000000e+05,6.645999999999999998e-04
8.488030433654785156e-01,-5.242730000000000000e+05,6.648000000000000046e-04
9.126956462860107422e-01,-5.242720000000000000e+05,6.652000000000000144e-04
